galaxy,tile,y0,x0,size,valid_fraction,median_wht,wht_ratio_to_outer_ring,wht_relative_mad,median_ERR,standardized_sigma,plane_0,plane_x,plane_y,accepted,selected,selection_mode
NGC 3379,y3168_x4192,3168,4192,512,0.028125762939453125,436.5203857421875,0.4941573021752263,0.7415723405155237,0.04196666181087494,1.1728987700634057,0.5640306107577329,0.0013164152481699568,4.2078780382447586e-05,False,False,nominal_0.80
NGC 3379,y3168_x5216,3168,5216,512,0.0302581787109375,871.7392578125,0.9868412424964709,0.0041456005485285006,0.04100294038653374,1.5815702965344658,0.6033750602105074,0.0007228576408072087,-0.00011229133914124091,False,False,nominal_0.80
NGC 3379,y3168_x5728,3168,5728,512,0.046321868896484375,874.7186889648438,0.990214069306737,0.001919951343173876,0.04184332489967346,1.8421442154797325,0.951358658942688,0.0007574170959215006,-0.00019016609957344006,False,False,nominal_0.80
NGC 3379,y3168_x6240,3168,6240,512,0.00605010986328125,878.9668884277344,0.9950231890048126,0.0012379370701056144,0.04847194440662861,2.153142941612539,1.395759891164726,0.0013975836311697013,-0.00043945177429820866,False,False,nominal_0.80
NGC 3379,y3680_x96,3680,96,512,0.8514213562011719,890.2672729492188,1.0078156443197803,0.001563799782793788,0.032698653638362885,0.7826765370293808,0.436080554138931,5.843418122080446e-06,8.07738414999254e-06,True,False,nominal_0.80
NGC 3379,y3680_x608,3680,608,512,0.8151512145996094,890.3438720703125,1.007902357372057,0.0016662156653888967,0.032881446182727814,0.8151894538606763,0.43629884181318684,1.99129052951921e-05,2.1128841430150292e-05,True,True,nominal_0.80
NGC 3379,y3680_x1120,3680,1120,512,0.7910194396972656,889.7887573242188,1.0072739468457972,0.0016996971868940263,0.032751504331827164,0.8389188929911927,0.44976624840067225,1.4961957873142784e-05,2.787628888125107e-06,False,False,nominal_0.80
NGC 3379,y3680_x1632,3680,1632,512,0.6072235107421875,888.6048583984375,1.0059337292561479,0.0017955477136943432,0.03264368884265423,0.8698680557177694,0.4534309665553554,4.763554201984461e-05,1.2513530766441007e-05,False,False,nominal_0.80
NGC 3379,y3680_x2144,3680,2144,512,0.6200180053710938,886.4747314453125,1.003522346368136,0.0017328982466402853,0.02942086663097143,0.9685161651696893,0.4575477764140176,5.418501823041371e-05,1.1297817873131481e-05,False,False,nominal_0.80
NGC 3379,y3680_x2656,3680,2656,512,0.5942955017089844,884.1823120117188,1.0009272423598028,0.0017309434621045343,0.029554767534136772,1.044542602027533,0.4936908653909224,4.288438217041843e-05,-3.081876909512816e-05,False,False,nominal_0.80
NGC 3379,y3680_x3168,3680,3168,512,0.5444717407226562,880.9407653808594,0.9972576910849931,0.0018516406899348648,0.030105141922831535,1.060771914547181,0.4991658714822062,4.6628372046854785e-05,-3.6809500309633227e-06,False,False,nominal_0.80
NGC 3379,y3680_x3680,3680,3680,512,0.4731597900390625,877.1099853515625,0.9929211057012761,0.001896198042248846,0.031350722536444664,1.1375847229747207,0.525442302761086,7.211941747096751e-05,-3.1109134217312114e-06,False,False,nominal_0.80
NGC 3379,y3680_x4192,3680,4192,512,0.02254486083984375,437.5851745605469,0.49536268269593714,0.6373019367741674,0.0444233026355505,1.0164317270142202,0.5673756946694792,0.0018892023561535199,1.8758230938266156e-06,False,False,nominal_0.80
NGC 3379,y3680_x5216,3680,5216,512,0.04486846923828125,876.7251281738281,0.9924854330708933,0.0024745670061979154,0.03967463783919811,1.5415704973980875,0.7893219701797405,0.00018857506820340429,-0.00016126479967584932,False,False,nominal_0.80
NGC 3379,y3680_x5728,3680,5728,512,0.08272933959960938,879.3668212890625,0.9954759278693884,0.0018980718159775439,0.041041258722543716,1.7434782163497398,0.9086868323008723,0.0005932110430252599,-0.0002831300598738204,False,False,nominal_0.80
NGC 3379,y3680_x6240,3680,6240,512,0.016864776611328125,883.1725463867188,0.9997841501391934,0.0012171339551160652,0.0464077964425087,1.9161300314976286,1.259734495653051,0.0010983772279330392,-0.0005527119349320456,False,False,nominal_0.80
